year,month,region,avg_temp_c,avg_max_temp_c,avg_min_temp_c,precipitation_mm
2018,10,Daejeon/Chungcheong,15.1,20.8,9.0,73.6
2018,11,Daejeon/Chungcheong,6.5,14.2,0.5,46.9
2018,12,Daejeon/Chungcheong,-0.4,5.4,-8.0,30.9
2018,1,Jeju,5.6,10.8,-0.1,48.8
2018,2,Jeju,6.3,12.3,1.1,57.9
2018,3,Jeju,10.8,16.1,5.2,77.4
2018,4,Jeju,15.3,21.8,9.2,103.1
2018,5,Jeju,20.0,26.0,15.4,116.5
2018,6,Jeju,23.2,27.9,17.9,211.0
2018,7,Jeju,26.7,31.2,22.4,180.2
2018,8,Jeju,27.7,31.9,23.1,159.0
2018,9,Jeju,23.0,28.2,18.8,187.8
2018,10,Jeju,17.2,22.6,13.3,104.0
2018,11,Jeju,12.2,17.2,8.0,71.6
2018,12,Jeju,7.0,11.8,2.3,54.6
2019,1,Seoul/Incheon,-3.2,1.9,-7.9,24.3
2019,2,Seoul/Incheon,-0.7,5.1,-5.9,34.1
2019,3,Seoul/Incheon,5.4,13.1,-1.4,41.8
2019,4,Seoul/Incheon,14.3,23.9,5.1,69.8
2019,5,Seoul/Incheon,19.8,27.0,12.0,80.7
2019,6,Seoul/Incheon,23.0,27.9,17.1,134.2
2019,7,Seoul/Incheon,28.7,33.5,23.0,112.2
2019,8,Seoul/Incheon,29.2,32.9,24.1,95.1
2019,9,Seoul/Incheon,23.0,26.8,18.0,148.6
2019,10,Seoul/Incheon,15.4,21.3,10.6,72.1
2019,11,Seoul/Incheon,7.3,14.1,1.7,48.0
2019,12,Seoul/Incheon,-1.8,3.8,-7.6,29.2
2019,1,Gangwon,-6.7,-1.0,-11.9,49.2
2019,2,Gangwon,-3.7,1.8,-10.3,61.5
2019,3,Gangwon,0.6,10.5,-6.6,63.5
2019,4,Gangwon,10.0,21.4,-0.0,95.6
2019,5,Gangwon,15.0,23.8,7.0,105.2
2019,6,Gangwon,19.4,25.2,13.7,158.9
2019,7,Gangwon,24.0,30.2,18.2,122.7
2019,8,Gangwon,24.0,31.4,18.1,110.7
2019,9,Gangwon,19.5,25.0,13.4,155.5
2019,10,Gangwon,12.6,17.5,6.9,99.6
2019,11,Gangwon,3.7,8.4,-1.3,77.6
2019,12,Gangwon,-4.7,-1.5,-11.4,49.4
2019,1,Busan/Ulsan/Gyeongnam,1.9,9.2,-3.5,35.1
2019,2,Busan/Ulsan/Gyeongnam,4.5,10.6,-2.5,39.9
2019,3,Busan/Ulsan/Gyeongnam,10.1,18.0,1.4,54.8
2019,4,Busan/Ulsan/Gyeongnam,16.1,27.2,7.1,71.5
2019,5,Busan/Ulsan/Gyeongnam,21.3,28.7,14.0,94.3
2019,6,Busan/Ulsan/Gyeongnam,24.2,29.2,19.8,139.3
2019,7,Busan/Ulsan/Gyeongnam,28.5,33.7,22.8,112.8
2019,8,Busan/Ulsan/Gyeongnam,29.6,35.0,23.8,111.2
2019,9,Busan/Ulsan/Gyeongnam,24.5,28.9,20.2,145.3
2019,10,Busan/Ulsan/Gyeongnam,17.3,23.8,11.9,70.8
2019,11,Busan/Ulsan/Gyeongnam,9.5,17.4,3.5,59.3
2019,12,Busan/Ulsan/Gyeongnam,4.2,10.1,-2.1,42.2
2019,1,Daegu/Gyeongbuk,-1.5,5.7,-9.5,20.2
2019,2,Daegu/Gyeongbuk,0.8,8.6,-7.2,28.4
2019,3,Daegu/Gyeongbuk,8.0,17.3,-2.0,48.3
2019,4,Daegu/Gyeongbuk,16.0,26.7,5.5,71.9
2019,5,Daegu/Gyeongbuk,21.2,29.9,12.7,79.1
2019,6,Daegu/Gyeongbuk,25.3,31.6,18.6,138.8
2019,7,Daegu/Gyeongbuk,29.3,35.9,22.8,105.2
2019,8,Daegu/Gyeongbuk,30.0,36.8,24.1,94.8
2019,9,Daegu/Gyeongbuk,23.9,29.7,17.8,140.1
2019,10,Daegu/Gyeongbuk,16.2,21.7,10.0,72.6
2019,11,Daegu/Gyeongbuk,7.0,15.2,-0.2,46.3
2019,12,Daegu/Gyeongbuk,-0.2,6.5,-8.5,25.1
2019,1,Gwangju/Jeonnam,0.1,7.7,-6.8,27.5
2019,2,Gwangju/Jeonnam,2.0,9.6,-5.2,40.1
2019,3,Gwangju/Jeonnam,8.2,17.9,-0.7,53.4
2019,4,Gwangju/Jeonnam,16.8,26.7,6.2,85.8
2019,5,Gwangju/Jeonnam,20.8,28.8,14.2,99.0
2019,6,Gwangju/Jeonnam,24.6,29.8,20.0,148.8
2019,7,Gwangju/Jeonnam,28.4,33.1,23.1,132.2
2019,8,Gwangju/Jeonnam,28.4,33.9,24.1,117.5
2019,9,Gwangju/Jeonnam,23.6,29.6,19.3,147.6
2019,10,Gwangju/Jeonnam,16.4,22.9,9.4,85.5
2019,11,Gwangju/Jeonnam,7.4,15.9,1.0,65.0
2019,12,Gwangju/Jeonnam,1.6,8.9,-5.8,31.1
2019,1,Daejeon/Chungcheong,-1.9,5.2,-9.4,26.4
2019,2,Daejeon/Chungcheong,0.6,7.9,-6.8,39.0
2019,3,Daejeon/Chungcheong,6.6,16.1,-3.1,47.9
2019,4,Daejeon/Chungcheong,15.7,25.7,5.0,73.2
2019,5,Daejeon/Chungcheong,20.6,29.1,12.3,87.7
2019,6,Daejeon/Chungcheong,23.4,28.7,17.9,147.7
2019,7,Daejeon/Chungcheong,28.2,33.7,22.3,122.8
2019,8,Daejeon/Chungcheong,28.6,34.6,22.8,93.8
2019,9,Daejeon/Chungcheong,22.0,28.4,17.2,139.6
2019,10,Daejeon/Chungcheong,15.1,20.7,9.7,75.5
2019,11,Daejeon/Chungcheong,6.5,14.2,0.1,50.6
2019,12,Daejeon/Chungcheong,-1.2,6.1,-7.4,32.0
2019,1,Jeju,6.0,10.8,-0.3,49.7
2019,2,Jeju,6.5,12.3,0.5,64.6
2019,3,Jeju,10.5,15.9,4.7,68.8
2019,4,Jeju,15.7,22.0,8.6,93.5
2019,5,Jeju,19.9,26.5,14.9,111.0
2019,6,Jeju,22.9,27.9,17.2,199.5
2019,7,Jeju,26.4,31.2,22.6,190.1
2019,8,Jeju,27.4,31.7,23.8,160.5
2019,9,Jeju,23.0,28.0,19.1,168.8
2019,10,Jeju,17.3,22.8,13.0,97.3
2019,11,Jeju,11.8,17.0,7.9,80.6
2019,12,Jeju,6.2,12.3,2.4,49.3
2020,1,Seoul/Incheon,-3.1,1.9,-8.4,24.0
2020,2,Seoul/Incheon,-0.8,5.5,-5.7,37.2
2020,3,Seoul/Incheon,5.7,12.7,-1.2,46.1
2020,4,Seoul/Incheon,14.1,24.2,4.9,63.8
2020,5,Seoul/Incheon,19.7,27.1,11.9,89.9
2020,6,Seoul/Incheon,22.7,28.2,17.2,137.8
2020,7,Seoul/Incheon,28.6,32.6,23.3,109.0
2020,8,Seoul/Incheon,28.8,33.3,23.8,88.3
2020,9,Seoul/Incheon,22.5,27.2,17.6,157.7
2020,10,Seoul/Incheon,14.4,21.5,10.1,74.6
2020,11,Seoul/Incheon,6.8,14.1,1.0,52.8
2020,12,Seoul/Incheon,-1.5,4.0,-7.1,29.9
2020,1,Gangwon,-6.4,-1.5,-12.4,46.7
2020,2,Gangwon,-3.9,1.9,-10.0,61.0
2020,3,Gangwon,0.8,9.8,-6.9,61.8
2020,4,Gangwon,10.6,20.5,0.3,92.1
2020,5,Gangwon,15.6,24.3,7.5,110.3
2020,6,Gangwon,18.9,24.6,13.8,160.2
2020,7,Gangwon,24.2,29.8,18.1,125.1
2020,8,Gangwon,24.3,30.6,17.7,107.2
2020,9,Gangwon,18.7,25.3,12.7,175.4
2020,10,Gangwon,12.1,17.1,6.7,98.3
2020,11,Gangwon,3.3,8.0,-0.2,74.6
2020,12,Gangwon,-4.7,-1.2,-11.0,59.9
2020,1,Busan/Ulsan/Gyeongnam,1.8,9.5,-3.8,34.0
2020,2,Busan/Ulsan/Gyeongnam,4.2,11.3,-1.8,36.9
2020,3,Busan/Ulsan/Gyeongnam,9.8,17.9,2.0,56.7
2020,4,Busan/Ulsan/Gyeongnam,16.6,26.6,7.1,77.3
2020,5,Busan/Ulsan/Gyeongnam,21.7,29.3,14.3,92.1
2020,6,Busan/Ulsan/Gyeongnam,24.5,28.5,20.1,175.8
2020,7,Busan/Ulsan/Gyeongnam,28.6,33.6,22.7,164.2
2020,8,Busan/Ulsan/Gyeongnam,29.0,35.2,24.0,132.2
2020,9,Busan/Ulsan/Gyeongnam,24.8,28.8,20.0,205.1
2020,10,Busan/Ulsan/Gyeongnam,17.4,23.9,12.1,93.7
2020,11,Busan/Ulsan/Gyeongnam,10.4,16.7,2.9,58.7
2020,12,Busan/Ulsan/Gyeongnam,4.4,10.1,-2.7,37.0
2020,1,Daegu/Gyeongbuk,-1.4,6.3,-9.0,21.1
2020,2,Daegu/Gyeongbuk,0.8,9.4,-6.3,29.5
2020,3,Daegu/Gyeongbuk,7.4,17.4,-1.5,43.8
2020,4,Daegu/Gyeongbuk,15.9,26.9,4.6,66.8
2020,5,Daegu/Gyeongbuk,21.2,29.8,13.0,86.0
2020,6,Daegu/Gyeongbuk,25.5,30.7,19.3,133.6
2020,7,Daegu/Gyeongbuk,29.5,36.2,22.7,112.1
2020,8,Daegu/Gyeongbuk,30.0,37.1,24.1,106.7
2020,9,Daegu/Gyeongbuk,23.8,29.8,17.8,131.3
2020,10,Daegu/Gyeongbuk,15.8,22.4,10.4,68.0
2020,11,Daegu/Gyeongbuk,7.3,15.1,-0.2,46.4
2020,12,Daegu/Gyeongbuk,0.1,6.5,-7.5,27.2
2020,1,Gwangju/Jeonnam,-0.2,7.9,-6.9,30.5
2020,2,Gwangju/Jeonnam,2.2,10.6,-5.1,38.4
2020,3,Gwangju/Jeonnam,8.1,17.8,-1.0,59.9
2020,4,Gwangju/Jeonnam,16.3,27.1,6.0,84.8
2020,5,Gwangju/Jeonnam,22.3,28.8,13.9,105.2
2020,6,Gwangju/Jeonnam,24.7,30.6,20.2,176.8
2020,7,Gwangju/Jeonnam,28.2,33.3,23.2,180.0
2020,8,Gwangju/Jeonnam,28.8,34.4,24.4,148.7
2020,9,Gwangju/Jeonnam,23.4,29.0,19.4,215.8
2020,10,Gwangju/Jeonnam,16.1,22.9,10.0,114.9
2020,11,Gwangju/Jeonnam,8.1,16.0,0.6,62.2
2020,12,Gwangju/Jeonnam,1.7,9.6,-6.1,35.4
2020,1,Daejeon/Chungcheong,-1.9,5.5,-9.0,25.3
2020,2,Daejeon/Chungcheong,0.7,8.1,-7.1,35.3
2020,3,Daejeon/Chungcheong,6.8,15.7,-3.0,48.2
2020,4,Daejeon/Chungcheong,15.9,25.5,4.8,76.4
2020,5,Daejeon/Chungcheong,21.0,29.0,11.8,98.5
2020,6,Daejeon/Chungcheong,23.1,28.3,18.1,141.4
2020,7,Daejeon/Chungcheong,27.7,34.2,22.1,111.8
2020,8,Daejeon/Chungcheong,28.1,34.3,23.2,99.5
2020,9,Daejeon/Chungcheong,23.1,27.7,16.5,135.2
2020,10,Daejeon/Chungcheong,15.0,21.1,8.9,76.3
2020,11,Daejeon/Chungcheong,6.1,14.4,-0.0,52.8
2020,12,Daejeon/Chungcheong,-0.9,6.1,-7.8,30.7
2020,1,Jeju,5.7,11.4,0.1,51.8
2020,2,Jeju,6.5,12.4,0.8,65.4
2020,3,Jeju,10.5,15.6,5.0,72.4
2020,4,Jeju,15.8,21.8,8.9,90.6
2020,5,Jeju,19.9,25.3,14.5,124.6
2020,6,Jeju,23.2,28.1,17.7,199.5
2020,7,Jeju,26.5,30.7,22.5,187.9
2020,8,Jeju,27.4,32.0,23.1,143.7
2020,9,Jeju,22.9,27.8,18.7,167.6
2020,10,Jeju,18.0,23.2,12.8,102.9
2020,11,Jeju,12.4,17.3,8.0,72.6
2020,12,Jeju,7.2,12.1,2.3,56.7
2021,1,Seoul/Incheon,-2.7,1.8,-7.6,25.2
2021,2,Seoul/Incheon,0.1,4.8,-5.5,35.3
2021,3,Seoul/Incheon,5.3,12.9,-1.1,46.0
2021,4,Seoul/Incheon,14.7,23.8,5.0,72.0
2021,5,Seoul/Incheon,20.0,27.1,12.0,85.5
2021,6,Seoul/Incheon,23.2,27.7,16.9,128.3
2021,7,Seoul/Incheon,28.6,33.2,22.9,118.7
2021,8,Seoul/Incheon,28.6,32.6,24.1,100.0
2021,9,Seoul/Incheon,23.5,26.9,18.3,144.7
2021,10,Seoul/Incheon,14.9,21.3,10.2,69.1
2021,11,Seoul/Incheon,7.4,14.4,0.8,51.0
2021,12,Seoul/Incheon,-1.4,4.1,-7.2,29.0
2021,1,Gangwon,-6.5,-0.6,-11.8,44.2
2021,2,Gangwon,-3.8,1.1,-9.7,54.8
2021,3,Gangwon,0.9,9.7,-7.4,68.8
2021,4,Gangwon,10.4,21.1,-0.0,92.1
2021,5,Gangwon,15.5,23.6,7.3,102.4
2021,6,Gangwon,19.0,24.9,14.5,166.8
2021,7,Gangwon,23.9,29.9,17.9,143.5
2021,8,Gangwon,24.6,31.1,18.3,116.4
2021,9,Gangwon,18.9,24.9,13.0,154.7
2021,10,Gangwon,12.2,17.0,7.2,94.6
2021,11,Gangwon,3.5,7.4,-0.7,76.3
2021,12,Gangwon,-4.7,-1.9,-10.4,54.6
2021,1,Busan/Ulsan/Gyeongnam,2.3,8.7,-3.8,33.2
2021,2,Busan/Ulsan/Gyeongnam,3.8,11.6,-2.1,40.4
2021,3,Busan/Ulsan/Gyeongnam,10.3,18.1,2.0,56.0
2021,4,Busan/Ulsan/Gyeongnam,17.2,27.0,7.1,78.9
2021,5,Busan/Ulsan/Gyeongnam,21.8,29.4,14.2,84.9
2021,6,Busan/Ulsan/Gyeongnam,25.0,28.7,20.1,139.5
2021,7,Busan/Ulsan/Gyeongnam,28.5,34.1,23.1,122.5
2021,8,Busan/Ulsan/Gyeongnam,29.5,35.1,23.9,115.3
2021,9,Busan/Ulsan/Gyeongnam,24.9,28.6,20.2,144.9
2021,10,Busan/Ulsan/Gyeongnam,17.4,24.4,12.0,80.5
2021,11,Busan/Ulsan/Gyeongnam,9.9,17.0,2.7,55.7
2021,12,Busan/Ulsan/Gyeongnam,4.5,9.7,-3.3,35.7
2021,1,Daegu/Gyeongbuk,-1.7,5.6,-8.5,21.0
2021,2,Daegu/Gyeongbuk,0.8,9.7,-6.7,29.5
2021,3,Daegu/Gyeongbuk,6.8,17.7,-2.4,41.3
2021,4,Daegu/Gyeongbuk,16.3,27.7,5.4,72.0
2021,5,Daegu/Gyeongbuk,21.7,30.3,13.2,86.2
2021,6,Daegu/Gyeongbuk,25.0,31.0,18.8,133.1
2021,7,Daegu/Gyeongbuk,29.0,36.0,22.7,103.9
2021,8,Daegu/Gyeongbuk,30.1,37.4,24.3,87.5
2021,9,Daegu/Gyeongbuk,23.7,30.3,17.7,133.5
2021,10,Daegu/Gyeongbuk,16.2,21.7,10.0,65.3
2021,11,Daegu/Gyeongbuk,7.3,15.1,-0.5,46.0
2021,12,Daegu/Gyeongbuk,-0.0,7.2,-7.9,26.7
2021,1,Gwangju/Jeonnam,0.0,7.9,-7.0,30.8
2021,2,Gwangju/Jeonnam,2.0,10.0,-5.2,38.7
2021,3,Gwangju/Jeonnam,8.1,18.5,-1.4,53.1
2021,4,Gwangju/Jeonnam,16.3,27.3,5.9,85.0
2021,5,Gwangju/Jeonnam,21.3,29.1,13.7,110.7
2021,6,Gwangju/Jeonnam,24.1,30.1,20.2,153.1
2021,7,Gwangju/Jeonnam,27.9,33.0,23.0,134.0
2021,8,Gwangju/Jeonnam,28.8,34.7,23.8,111.8
2021,9,Gwangju/Jeonnam,23.5,29.8,18.8,162.3
2021,10,Gwangju/Jeonnam,16.5,22.8,10.2,97.3
2021,11,Gwangju/Jeonnam,7.9,15.9,0.8,57.0
2021,12,Gwangju/Jeonnam,1.3,8.6,-6.0,33.7
2021,1,Daejeon/Chungcheong,-1.9,4.5,-8.9,26.0
2021,2,Daejeon/Chungcheong,-0.1,8.1,-6.6,32.9
2021,3,Daejeon/Chungcheong,7.0,16.1,-3.2,49.9
2021,4,Daejeon/Chungcheong,15.7,26.0,5.2,71.5
2021,5,Daejeon/Chungcheong,20.6,28.6,12.0,85.9
2021,6,Daejeon/Chungcheong,23.3,29.4,18.3,149.4
2021,7,Daejeon/Chungcheong,27.7,33.9,22.4,115.8
2021,8,Daejeon/Chungcheong,29.2,34.1,23.1,98.5
2021,9,Daejeon/Chungcheong,22.5,28.0,17.2,146.7
2021,10,Daejeon/Chungcheong,14.8,20.6,8.4,76.9
2021,11,Daejeon/Chungcheong,6.2,13.4,0.1,56.2
2021,12,Daejeon/Chungcheong,-1.0,6.3,-8.0,29.9
2021,1,Jeju,5.8,10.9,0.1,50.8
2021,2,Jeju,6.3,12.3,0.9,57.7
2021,3,Jeju,10.7,15.7,5.0,75.0
2021,4,Jeju,15.8,22.1,9.0,104.1
2021,5,Jeju,20.4,26.2,15.0,112.1
2021,6,Jeju,22.7,27.9,17.8,198.1
2021,7,Jeju,26.5,31.2,22.0,184.4
2021,8,Jeju,27.5,31.4,22.7,158.8
2021,9,Jeju,22.6,28.2,19.5,180.4
2021,10,Jeju,17.4,23.4,13.0,98.3
2021,11,Jeju,11.8,16.9,7.9,75.6
2021,12,Jeju,7.0,12.0,2.1,58.3
2022,1,Seoul/Incheon,-2.7,1.6,-8.8,26.2
2022,2,Seoul/Incheon,-0.9,4.9,-6.4,31.8
2022,3,Seoul/Incheon,5.7,13.2,-1.2,39.2
2022,4,Seoul/Incheon,14.3,24.1,4.6,65.6
2022,5,Seoul/Incheon,19.5,27.2,12.0,80.9
2022,6,Seoul/Incheon,23.4,28.0,17.0,133.5
2022,7,Seoul/Incheon,28.4,32.7,22.9,119.4
2022,8,Seoul/Incheon,28.6,32.5,24.4,94.0
2022,9,Seoul/Incheon,22.8,27.3,17.8,158.2
2022,10,Seoul/Incheon,15.2,20.9,10.6,72.7
2022,11,Seoul/Incheon,7.2,14.1,1.4,53.9
2022,12,Seoul/Incheon,-1.5,3.8,-6.9,29.0
2022,1,Gangwon,-5.9,-1.0,-12.1,45.4
2022,2,Gangwon,-4.4,1.7,-9.6,58.0
2022,3,Gangwon,0.7,10.2,-6.6,67.3
2022,4,Gangwon,10.8,20.8,-0.4,96.8
2022,5,Gangwon,15.4,23.9,7.4,107.9
2022,6,Gangwon,19.6,25.6,13.8,167.4
2022,7,Gangwon,24.0,30.1,18.5,133.3
2022,8,Gangwon,24.7,31.3,17.9,110.2
2022,9,Gangwon,18.7,24.4,13.6,146.5
2022,10,Gangwon,11.9,16.9,7.1,98.9
2022,11,Gangwon,3.8,7.8,-1.1,76.1
2022,12,Gangwon,-5.1,-0.5,-10.9,57.0
2022,1,Busan/Ulsan/Gyeongnam,2.2,9.4,-3.9,32.7
2022,2,Busan/Ulsan/Gyeongnam,4.1,10.8,-2.2,41.2
2022,3,Busan/Ulsan/Gyeongnam,10.4,18.0,2.1,59.7
2022,4,Busan/Ulsan/Gyeongnam,16.6,27.8,7.2,68.4
2022,5,Busan/Ulsan/Gyeongnam,21.7,29.1,14.4,93.0
2022,6,Busan/Ulsan/Gyeongnam,24.5,28.6,19.9,138.8
2022,7,Busan/Ulsan/Gyeongnam,28.3,34.2,23.5,122.4
2022,8,Busan/Ulsan/Gyeongnam,28.6,35.1,24.4,106.6
2022,9,Busan/Ulsan/Gyeongnam,24.5,29.0,19.8,144.5
2022,10,Busan/Ulsan/Gyeongnam,17.5,24.1,11.7,78.3
2022,11,Busan/Ulsan/Gyeongnam,10.2,16.9,3.5,58.8
2022,12,Busan/Ulsan/Gyeongnam,4.1,10.3,-3.4,36.5
2022,1,Daegu/Gyeongbuk,-2.0,6.4,-9.2,22.6
2022,2,Daegu/Gyeongbuk,0.8,9.1,-6.5,33.0
2022,3,Daegu/Gyeongbuk,8.1,17.4,-1.7,46.3
2022,4,Daegu/Gyeongbuk,16.2,26.8,4.8,70.0
2022,5,Daegu/Gyeongbuk,21.4,29.9,13.2,89.1
2022,6,Daegu/Gyeongbuk,25.0,31.4,18.7,133.7
2022,7,Daegu/Gyeongbuk,29.3,35.4,23.0,109.3
2022,8,Daegu/Gyeongbuk,30.5,37.2,23.7,103.8
2022,9,Daegu/Gyeongbuk,24.4,30.2,17.9,128.5
2022,10,Daegu/Gyeongbuk,15.9,22.3,10.6,75.4
2022,11,Daegu/Gyeongbuk,7.4,14.7,0.0,41.0
2022,12,Daegu/Gyeongbuk,0.1,7.0,-8.1,23.0
2022,1,Gwangju/Jeonnam,0.2,7.8,-7.4,25.7
2022,2,Gwangju/Jeonnam,2.0,10.5,-4.5,39.1
2022,3,Gwangju/Jeonnam,8.3,18.1,-1.3,55.8
2022,4,Gwangju/Jeonnam,16.7,27.4,6.0,79.2
2022,5,Gwangju/Jeonnam,21.2,28.8,13.9,101.8
2022,6,Gwangju/Jeonnam,24.8,29.8,20.4,148.0
2022,7,Gwangju/Jeonnam,28.0,32.8,22.3,141.0
2022,8,Gwangju/Jeonnam,28.7,33.9,24.0,123.1
2022,9,Gwangju/Jeonnam,23.0,28.8,19.2,140.6
2022,10,Gwangju/Jeonnam,16.1,22.6,10.1,89.8
2022,11,Gwangju/Jeonnam,7.5,16.3,0.8,57.6
2022,12,Gwangju/Jeonnam,1.6,9.3,-6.3,35.1
2022,1,Daejeon/Chungcheong,-1.9,5.2,-8.9,24.5
2022,2,Daejeon/Chungcheong,0.3,8.0,-7.3,29.9
2022,3,Daejeon/Chungcheong,6.6,16.3,-3.7,47.5
2022,4,Daejeon/Chungcheong,15.7,26.6,5.0,72.3
2022,5,Daejeon/Chungcheong,20.4,29.4,11.8,86.4
2022,6,Daejeon/Chungcheong,23.4,28.7,18.0,156.8
2022,7,Daejeon/Chungcheong,28.1,33.9,21.9,106.0
2022,8,Daejeon/Chungcheong,28.8,34.0,22.9,116.0
2022,9,Daejeon/Chungcheong,22.6,27.8,16.9,148.0
2022,10,Daejeon/Chungcheong,15.0,20.6,9.3,72.5
2022,11,Daejeon/Chungcheong,7.1,14.3,-0.1,53.2
2022,12,Daejeon/Chungcheong,-1.0,6.3,-7.9,28.7
2022,1,Jeju,5.3,11.3,-0.1,49.0
2022,2,Jeju,6.2,12.1,1.6,56.8
2022,3,Jeju,10.5,16.4,5.0,76.7
2022,4,Jeju,15.2,22.1,8.9,104.9
2022,5,Jeju,20.4,26.8,15.2,122.0
2022,6,Jeju,23.1,27.9,18.1,197.0
2022,7,Jeju,26.6,31.4,21.7,190.3
2022,8,Jeju,27.9,32.0,22.4,155.1
2022,9,Jeju,23.4,28.0,18.7,165.7
2022,10,Jeju,17.8,23.2,12.9,98.2
2022,11,Jeju,11.9,16.7,8.5,73.8
2022,12,Jeju,7.4,12.5,2.3,53.8
2023,1,Seoul/Incheon,-2.9,2.0,-8.3,25.4
2023,2,Seoul/Incheon,-0.9,5.4,-6.1,35.4
2023,3,Seoul/Incheon,5.6,12.9,-0.8,43.9
2023,4,Seoul/Incheon,15.3,24.6,5.0,71.3
2023,5,Seoul/Incheon,20.2,28.8,12.2,85.8
